Startup_ID,Team_Size,Founder_Experience_Years,Startup_Age_Years,Industry,City,Funding_Goal,Funding_Raised,Funding_Success,Growth_Rate,Revenue
49,9,10,8,E-Commerce,Hyderabad,1410509,976713,No,Low,500000
50,19,0,9,EdTech,Bangalore,233996,1981494,Yes,High,5000000
51,5,10,4,AgriTech,Pune,615068,2246138,Yes,High,5000000
52,18,13,6,E-Commerce,Kolkata,647867,1945807,Yes,High,5000000
53,17,12,2,CleanTech,Hyderabad,791226,1414548,Yes,High,5000000
54,12,2,1,EdTech,Bangalore,503441,1059444,Yes,High,5000000
55,16,11,3,CleanTech,Kolkata,1657049,126920,No,Low,500000
56,10,13,2,E-Commerce,Delhi,1633652,1598324,No,Low,500000
57,13,5,7,E-Commerce,Bangalore,1820164,1385144,No,Low,500000
58,4,8,3,AI,Delhi,1884828,481303,No,Low,500000
59,3,10,9,HealthTech,Kolkata,1396068,2176839,Yes,High,5000000
60,15,1,1,AI,Mumbai,1715385,1227458,No,Low,500000
61,12,5,3,EdTech,Mumbai,478952,1096689,Yes,High,5000000
62,2,10,8,CleanTech,Kolkata,608423,503638,No,Low,500000
63,5,1,3,AI,Kolkata,239956,1279338,Yes,High,5000000
64,13,14,8,EdTech,Pune,305359,2290767,Yes,High,5000000
65,5,8,4,AgriTech,Hyderabad,1427065,754199,No,Low,500000
66,4,11,4,EdTech,Mumbai,1923341,1342518,No,Low,500000
67,18,9,4,AgriTech,Pune,878507,1294913,Yes,High,5000000
68,12,0,8,E-Commerce,Chennai,1655515,868473,No,Low,500000
69,18,12,5,EdTech,Mumbai,456115,1566764,Yes,High,5000000
70,2,9,4,AI,Chennai,1828879,845812,No,Low,500000
71,9,6,6,CleanTech,Pune,732990,93625,No,Low,500000
72,19,1,8,AgriTech,Chennai,1459231,1455930,No,Low,500000
73,9,0,8,E-Commerce,Delhi,712625,1396484,Yes,High,5000000
74,8,12,7,E-Commerce,Hyderabad,1273734,44229,No,Low,500000
75,7,10,5,CleanTech,Delhi,856138,2125815,Yes,High,5000000
76,16,1,5,EdTech,Delhi,1938318,1922154,No,Low,500000
77,19,7,3,FinTech,Kolkata,811550,2209419,Yes,High,5000000
78,8,12,2,AI,Mumbai,175842,439981,Yes,High,5000000
79,19,14,1,E-Commerce,Delhi,574283,902441,Yes,High,5000000
80,19,11,7,AI,Kolkata,1912109,653281,No,Low,500000
81,13,12,2,AI,Bangalore,1087292,893787,No,Low,500000
82,19,11,2,AgriTech,Kolkata,360329,1090189,Yes,High,5000000
83,5,15,1,AgriTech,Chennai,1680609,1620567,No,Low,500000
84,15,4,1,HealthTech,Kolkata,1056491,1334655,Yes,High,5000000
85,19,14,6,HealthTech,Mumbai,610221,807828,Yes,High,5000000
86,13,14,4,AI,Hyderabad,371103,993998,Yes,High,5000000
87,3,10,3,HealthTech,Pune,1009254,269883,No,Low,500000
88,2,14,8,AI,Bangalore,1167385,297799,No,Low,500000
89,14,1,4,CleanTech,Hyderabad,1665459,1653455,No,Low,500000
90,9,2,9,E-Commerce,Chennai,607183,1193376,Yes,High,5000000
91,13,5,10,EdTech,Hyderabad,881458,1534624,Yes,High,5000000
92,16,3,2,FinTech,Delhi,931152,2230266,Yes,High,5000000
93,12,2,4,CleanTech,Chennai,641827,178950,No,Low,500000
94,19,1,7,CleanTech,Hyderabad,182403,2230417,Yes,High,5000000
95,20,2,2,AgriTech,Pune,1337460,1158292,No,Low,500000
96,12,5,10,CleanTech,Delhi,361884,844922,Yes,High,5000000
97,4,7,10,HealthTech,Hyderabad,800324,1846012,Yes,High,5000000
98,19,13,9,CleanTech,Bangalore,872974,1837161,Yes,High,5000000
99,16,0,8,HealthTech,Pune,1616811,1996120,Yes,High,5000000
100,15,5,2,E-Commerce,Bangalore,1672210,2181795,Yes,High,5000000
101,2,2,8,CleanTech,Hyderabad,1154698,2279994,Yes,High,5000000
102,7,10,4,HealthTech,Chennai,196655,1547980,Yes,High,5000000
103,9,1,4,CleanTech,Kolkata,1140245,1821273,Yes,High,5000000
104,6,6,8,FinTech,Kolkata,403079,835049,Yes,High,5000000
105,3,10,6,CleanTech,Mumbai,485714,2285756,Yes,High,5000000
106,5,7,8,EdTech,Hyderabad,342121,27114,No,Low,500000
107,6,14,1,CleanTech,Pune,860125,450640,No,Low,500000
108,2,8,1,FinTech,Hyderabad,1588707,1378360,No,Low,500000
109,8,0,6,E-Commerce,Kolkata,1974071,796846,No,Low,500000
110,2,11,1,AI,Chennai,963874,1003828,Yes,High,5000000
111,16,5,7,CleanTech,Hyderabad,58749,925954,Yes,High,5000000
112,15,9,9,EdTech,Delhi,160155,666208,Yes,High,5000000
113,4,2,2,CleanTech,Mumbai,1016428,1193773,Yes,High,5000000
114,18,15,1,AI,Hyderabad,300343,513792,Yes,High,5000000
115,2,15,3,AI,Hyderabad,535794,582577,Yes,High,5000000
116,9,11,5,EdTech,Bangalore,319906,1835115,Yes,High,5000000
117,4,12,1,AI,Mumbai,1087981,553533,No,Low,500000
118,4,2,3,AI,Mumbai,1619097,202435,No,Low,500000
119,18,13,10,E-Commerce,Bangalore,274526,1344650,Yes,High,5000000
120,5,0,1,EdTech,Bangalore,1514987,2403664,Yes,High,5000000
121,17,11,9,AgriTech,Bangalore,365953,274943,No,Low,500000
122,12,10,3,CleanTech,Pune,1156622,1616314,Yes,High,5000000
123,8,1,5,FinTech,Mumbai,377069,1264156,Yes,High,5000000
124,12,8,2,EdTech,Kolkata,379520,1741819,Yes,High,5000000
125,5,11,4,AI,Pune,1305575,2148124,Yes,High,5000000
126,5,6,9,E-Commerce,Mumbai,1545434,75062,No,Low,500000
127,17,0,3,AgriTech,Hyderabad,642258,723074,Yes,High,5000000
128,11,4,2,E-Commerce,Pune,127191,644672,Yes,High,5000000
129,5,7,5,EdTech,Pune,1744744,25836,No,Low,500000
130,11,12,2,HealthTech,Hyderabad,1381974,1462634,Yes,High,5000000
131,5,0,6,HealthTech,Pune,491868,2464195,Yes,High,5000000
132,5,2,5,HealthTech,Pune,1653553,612009,No,Low,500000
133,9,0,8,HealthTech,Pune,775398,1015058,Yes,High,5000000
134,2,9,6,AI,Kolkata,296651,1783374,Yes,High,5000000
135,13,12,6,AgriTech,Kolkata,1869681,2316188,Yes,High,5000000
136,11,12,5,HealthTech,Hyderabad,284120,2169518,Yes,High,5000000
137,17,0,9,AI,Mumbai,1701071,1763051,Yes,High,5000000
138,6,1,2,HealthTech,Hyderabad,716646,1195851,Yes,High,5000000
139,7,14,6,CleanTech,Chennai,374144,2221617,Yes,High,5000000
140,13,3,5,HealthTech,Delhi,525855,894664,Yes,High,5000000
141,20,12,6,FinTech,Bangalore,146791,2074881,Yes,High,5000000
142,12,15,8,AgriTech,Chennai,1260320,2147214,Yes,High,5000000
143,7,1,5,HealthTech,Hyderabad,924881,29058,No,Low,500000
144,15,1,10,AI,Chennai,816952,446879,No,Low,500000
145,14,0,6,E-Commerce,Chennai,1743217,352112,No,Low,500000
146,16,12,9,EdTech,Chennai,1457977,369825,No,Low,500000
147,17,2,10,AI,Hyderabad,619315,1485288,Yes,High,5000000
148,13,14,10,E-Commerce,Delhi,393018,220551,No,Low,500000
149,8,2,10,AI,Hyderabad,1987202,2149448,Yes,High,5000000
150,8,3,4,HealthTech,Mumbai,455714,2377594,Yes,High,5000000
151,16,1,4,CleanTech,Delhi,1966320,444262,No,Low,500000
152,16,8,4,AI,Kolkata,1776644,660871,No,Low,500000
153,18,5,9,HealthTech,Chennai,1288428,538911,No,Low,500000
154,5,8,4,EdTech,Mumbai,800834,1099212,Yes,High,5000000
155,15,15,3,FinTech,Hyderabad,1630113,264854,No,Low,500000
156,8,1,5,EdTech,Chennai,1266761,2381170,Yes,High,5000000
157,15,0,5,FinTech,Chennai,1046403,868481,No,Low,500000
158,14,6,9,HealthTech,Pune,1345338,1448514,Yes,High,5000000
159,12,6,1,EdTech,Mumbai,114610,2236471,Yes,High,5000000
160,4,13,8,HealthTech,Mumbai,1778055,2025074,Yes,High,5000000
161,3,15,1,EdTech,Mumbai,1575011,1377003,No,Low,500000
162,14,2,5,EdTech,Bangalore,1529908,212035,No,Low,500000
163,20,2,3,EdTech,Pune,192831,682841,Yes,High,5000000
164,9,4,7,AI,Delhi,1408342,726416,No,Low,500000
165,4,8,9,FinTech,Chennai,126802,38258,No,Low,500000
166,9,9,9,CleanTech,Chennai,1440180,2086773,Yes,High,5000000
167,17,5,6,CleanTech,Delhi,609804,924887,Yes,High,5000000
168,12,6,6,EdTech,Mumbai,661514,574811,No,Low,500000
169,17,12,9,CleanTech,Bangalore,1015235,2010679,Yes,High,5000000
170,4,10,10,EdTech,Hyderabad,230143,1582050,Yes,High,5000000
171,13,2,10,CleanTech,Bangalore,1378973,1145160,No,Low,500000
172,17,13,9,CleanTech,Delhi,491636,1857399,Yes,High,5000000
173,20,8,2,AI,Delhi,124928,767419,Yes,High,5000000
174,12,15,3,HealthTech,Hyderabad,619284,376398,No,Low,500000
175,19,10,2,AI,Pune,497701,2156168,Yes,High,5000000
176,18,7,4,AgriTech,Delhi,1946788,1595907,No,Low,500000
177,11,2,2,AgriTech,Kolkata,811679,261354,No,Low,500000
178,4,13,6,AgriTech,Delhi,391338,1149805,Yes,High,5000000
179,4,9,9,AgriTech,Kolkata,415715,1797463,Yes,High,5000000
180,9,15,5,EdTech,Hyderabad,134007,1317347,Yes,High,5000000
181,16,8,2,EdTech,Kolkata,255049,2355614,Yes,High,5000000
182,10,8,7,CleanTech,Hyderabad,233411,1516044,Yes,High,5000000
183,2,0,5,E-Commerce,Chennai,702724,1809818,Yes,High,5000000
184,7,10,4,CleanTech,Kolkata,335673,1296966,Yes,High,5000000
185,13,4,4,AgriTech,Chennai,190001,1713202,Yes,High,5000000
186,11,12,9,AgriTech,Bangalore,1299226,2463376,Yes,High,5000000
187,12,15,6,FinTech,Delhi,443546,2401417,Yes,High,5000000
188,16,15,5,HealthTech,Kolkata,462086,2241845,Yes,High,5000000
189,6,9,6,AI,Hyderabad,306996,1400493,Yes,High,5000000
190,3,14,8,CleanTech,Chennai,1594750,1447973,No,Low,500000
191,8,2,9,CleanTech,Bangalore,536512,1364272,Yes,High,5000000
192,17,12,2,AI,Delhi,491342,348336,No,Low,500000
193,3,15,5,EdTech,Kolkata,556411,2258355,Yes,High,5000000
194,19,15,5,AgriTech,Chennai,1932513,1767400,No,Low,500000
195,13,15,7,E-Commerce,Delhi,1826296,1223099,No,Low,500000
196,5,12,4,EdTech,Hyderabad,1056871,2292685,Yes,High,5000000
197,20,4,2,FinTech,Hyderabad,305474,1786506,Yes,High,5000000
198,2,1,4,E-Commerce,Chennai,190930,1209513,Yes,High,5000000
199,2,13,10,HealthTech,Delhi,516918,1805415,Yes,High,5000000
200,9,5,5,EdTech,Pune,331499,2235249,Yes,High,5000000
201,5,8,3,E-Commerce,Pune,1386282,155393,No,Low,500000
202,12,0,10,CleanTech,Pune,1173792,1310747,Yes,High,5000000
203,5,7,4,HealthTech,Chennai,970945,474544,No,Low,500000
204,3,5,3,FinTech,Kolkata,739939,489231,No,Low,500000
205,10,3,7,HealthTech,Mumbai,1614970,329882,No,Low,500000
206,20,2,9,CleanTech,Bangalore,972260,356479,No,Low,500000
207,2,6,4,EdTech,Bangalore,755605,911779,Yes,High,5000000
208,7,5,3,CleanTech,Pune,1251153,848360,No,Low,500000
209,8,15,2,AI,Kolkata,1925253,1365416,No,Low,500000
210,10,2,9,AI,Delhi,1857970,1245167,No,Low,500000
211,4,13,8,FinTech,Chennai,507656,2384962,Yes,High,5000000
212,15,8,4,CleanTech,Bangalore,1428698,2022055,Yes,High,5000000
213,3,4,1,AgriTech,Hyderabad,804245,2293170,Yes,High,5000000
214,3,14,10,EdTech,Chennai,1125427,1080864,No,Low,500000
215,3,11,1,AgriTech,Chennai,852651,2450068,Yes,High,5000000
216,9,7,7,FinTech,Bangalore,1976593,1504943,No,Low,500000
217,16,4,4,EdTech,Pune,1083516,2084704,Yes,High,5000000
218,19,11,9,AgriTech,Mumbai,1084428,1790070,Yes,High,5000000
219,12,15,6,EdTech,Pune,1807486,985643,No,Low,500000
220,3,1,3,FinTech,Hyderabad,1710244,2247499,Yes,High,5000000
221,15,3,9,E-Commerce,Mumbai,1227941,1376040,Yes,High,5000000
222,12,9,4,AgriTech,Pune,665806,1046478,Yes,High,5000000
223,2,4,7,FinTech,Mumbai,1880634,1005181,No,Low,500000
224,20,14,5,AI,Bangalore,574452,213297,No,Low,500000
225,3,12,4,E-Commerce,Delhi,355555,2036654,Yes,High,5000000
226,17,11,5,CleanTech,Hyderabad,361842,1113396,Yes,High,5000000
227,7,0,8,HealthTech,Delhi,743036,2189913,Yes,High,5000000
228,4,8,2,HealthTech,Chennai,1083156,1885760,Yes,High,5000000
229,3,10,9,AgriTech,Bangalore,1904800,1373192,No,Low,500000
230,3,2,10,HealthTech,Kolkata,1831181,417101,No,Low,500000
231,20,7,8,CleanTech,Hyderabad,1939761,1614318,No,Low,500000
232,11,4,1,AI,Bangalore,830179,2017179,Yes,High,5000000
233,16,9,10,AgriTech,Delhi,995372,1130430,Yes,High,5000000
234,19,6,5,HealthTech,Hyderabad,1517255,2298950,Yes,High,5000000
235,11,15,7,E-Commerce,Delhi,683698,930296,Yes,High,5000000
236,12,12,2,HealthTech,Bangalore,175136,709705,Yes,High,5000000
237,8,7,5,CleanTech,Delhi,1803865,2305440,Yes,High,5000000
238,19,8,1,AI,Mumbai,1905407,889432,No,Low,500000
239,20,6,1,HealthTech,Chennai,727853,1966394,Yes,High,5000000
240,8,13,8,E-Commerce,Pune,328647,1753203,Yes,High,5000000
241,20,1,9,AI,Mumbai,637096,1533062,Yes,High,5000000
242,11,13,7,HealthTech,Chennai,201630,2153280,Yes,High,5000000
243,6,15,10,HealthTech,Bangalore,1209366,1253651,Yes,High,5000000
244,3,15,9,HealthTech,Hyderabad,1597319,2360017,Yes,High,5000000
245,16,15,10,HealthTech,Mumbai,1173716,999085,No,Low,500000
246,17,1,7,AI,Delhi,1320652,1373840,Yes,High,5000000
247,17,9,8,CleanTech,Kolkata,1788720,2465003,Yes,High,5000000
248,15,2,5,CleanTech,Bangalore,1188310,826942,No,Low,500000
249,5,2,3,E-Commerce,Delhi,1851780,1468600,No,Low,500000
250,20,0,6,AI,Hyderabad,900002,1131172,Yes,High,5000000
251,8,4,3,E-Commerce,Delhi,252749,1164260,Yes,High,5000000
252,2,0,10,CleanTech,Hyderabad,1116444,749235,No,Low,500000
253,5,0,10,AI,Chennai,732427,572017,No,Low,500000
254,12,1,6,E-Commerce,Pune,1839914,904111,No,Low,500000
255,18,3,4,AI,Pune,1541322,1179822,No,Low,500000
256,18,9,8,EdTech,Bangalore,1488210,1965809,Yes,High,5000000
257,8,11,4,AgriTech,Mumbai,1555977,351572,No,Low,500000
258,7,10,2,HealthTech,Chennai,178675,1134337,Yes,High,5000000
259,14,5,5,HealthTech,Pune,986664,821340,No,Low,500000
260,5,10,6,EdTech,Kolkata,1072010,986245,No,Low,500000
261,18,1,8,FinTech,Chennai,487242,982852,Yes,High,5000000
262,20,10,7,E-Commerce,Bangalore,1219514,495546,No,Low,500000
263,14,15,7,CleanTech,Mumbai,585992,1200334,Yes,High,5000000
264,8,8,7,AgriTech,Kolkata,589997,391056,No,Low,500000
265,18,6,2,CleanTech,Hyderabad,562361,631707,Yes,High,5000000
266,6,5,1,EdTech,Pune,832835,1264330,Yes,High,5000000
267,19,4,1,EdTech,Kolkata,1504360,545955,No,Low,500000
268,16,9,4,EdTech,Pune,1727774,1346042,No,Low,500000
269,15,4,10,HealthTech,Hyderabad,1739100,1412842,No,Low,500000
270,3,6,6,E-Commerce,Mumbai,488433,2054186,Yes,High,5000000
271,2,2,3,EdTech,Kolkata,1929766,1610133,No,Low,500000
272,3,9,2,EdTech,Kolkata,1397717,886312,No,Low,500000
273,5,3,8,FinTech,Mumbai,997164,1016992,Yes,High,5000000
274,3,0,2,EdTech,Pune,698277,1703954,Yes,High,5000000
275,18,11,1,E-Commerce,Delhi,1474239,1379467,No,Low,500000
276,13,15,4,EdTech,Kolkata,67794,390820,Yes,High,5000000
277,18,5,4,AI,Hyderabad,415771,2227153,Yes,High,5000000
278,5,3,6,HealthTech,Kolkata,123729,1819447,Yes,High,5000000
279,15,15,7,EdTech,Hyderabad,1290710,1757795,Yes,High,5000000
280,3,4,8,EdTech,Bangalore,1047822,1696726,Yes,High,5000000
281,12,5,9,FinTech,Mumbai,120804,2181969,Yes,High,5000000
282,15,7,9,FinTech,Pune,85645,224832,Yes,High,5000000
283,11,10,7,E-Commerce,Pune,389466,1859258,Yes,High,5000000
284,18,11,6,E-Commerce,Pune,1919983,1579761,No,Low,500000
285,12,15,4,CleanTech,Chennai,195152,1015201,Yes,High,5000000
286,8,9,8,FinTech,Pune,152186,108426,No,Low,500000
287,4,4,5,HealthTech,Bangalore,652499,2026562,Yes,High,5000000
288,20,9,6,FinTech,Mumbai,1600662,1217974,No,Low,500000
289,6,13,3,EdTech,Chennai,488252,1486379,Yes,High,5000000
290,13,1,2,FinTech,Hyderabad,1398694,2390477,Yes,High,5000000
291,19,15,10,E-Commerce,Chennai,800529,1979237,Yes,High,5000000
292,9,0,9,E-Commerce,Pune,1858702,2062093,Yes,High,5000000
293,13,4,1,AgriTech,Pune,1483452,1494432,Yes,High,5000000
294,10,12,2,HealthTech,Delhi,1330964,955816,No,Low,500000
295,5,9,3,EdTech,Mumbai,1017875,2443998,Yes,High,5000000
296,13,2,4,EdTech,Kolkata,918339,461297,No,Low,500000
297,15,11,6,AgriTech,Hyderabad,396485,410362,Yes,High,5000000
298,12,15,2,HealthTech,Mumbai,112534,334313,Yes,High,5000000
299,3,9,7,E-Commerce,Pune,1700098,539949,No,Low,500000
300,15,11,10,AgriTech,Bangalore,1437899,2181700,Yes,High,5000000
301,20,8,4,HealthTech,Chennai,1945606,1292229,No,Low,500000
302,19,0,2,AI,Chennai,1706358,1043944,No,Low,500000
303,18,9,5,AgriTech,Bangalore,370320,1167606,Yes,High,5000000
304,4,3,6,EdTech,Pune,1068314,177731,No,Low,500000
305,12,14,4,E-Commerce,Delhi,360443,769970,Yes,High,5000000
306,18,5,6,CleanTech,Hyderabad,111244,433034,Yes,High,5000000
307,16,14,4,EdTech,Bangalore,1981523,2306688,Yes,High,5000000
308,12,5,9,EdTech,Pune,1304266,146661,No,Low,500000
309,16,15,5,CleanTech,Chennai,498571,2333290,Yes,High,5000000
310,6,5,7,HealthTech,Pune,115794,2003698,Yes,High,5000000
311,14,13,5,CleanTech,Chennai,1104706,122174,No,Low,500000
312,14,3,9,E-Commerce,Kolkata,481379,767564,Yes,High,5000000
313,12,8,8,HealthTech,Kolkata,777555,1826015,Yes,High,5000000
314,13,3,10,AI,Pune,403162,536383,Yes,High,5000000
315,19,10,7,AI,Delhi,497478,1009684,Yes,High,5000000
316,12,5,8,CleanTech,Bangalore,671763,991979,Yes,High,5000000
317,6,10,1,CleanTech,Mumbai,818434,2297413,Yes,High,5000000
318,16,14,4,AgriTech,Pune,981838,732708,No,Low,500000
319,16,5,7,AI,Pune,753924,1027968,Yes,High,5000000
320,20,15,2,HealthTech,Kolkata,61168,2374493,Yes,High,5000000
321,11,4,5,E-Commerce,Delhi,671557,2014201,Yes,High,5000000
322,7,1,2,AI,Chennai,473926,452142,No,Low,500000
323,13,3,1,AI,Bangalore,1504832,159244,No,Low,500000
324,15,6,10,E-Commerce,Chennai,1476362,1256048,No,Low,500000
325,2,6,6,HealthTech,Mumbai,1675919,1243206,No,Low,500000
326,19,8,4,E-Commerce,Chennai,1017474,1315490,Yes,High,5000000
327,12,7,8,AI,Chennai,1872728,1435522,No,Low,500000
328,18,0,9,EdTech,Pune,1678781,487275,No,Low,500000
329,8,14,6,FinTech,Hyderabad,1347098,715168,No,Low,500000
330,13,1,3,AI,Delhi,1269482,2214725,Yes,High,5000000
331,4,6,2,AgriTech,Pune,339356,2422323,Yes,High,5000000
332,13,0,2,FinTech,Mumbai,1575651,1713556,Yes,High,5000000
333,18,11,8,EdTech,Bangalore,841364,1579217,Yes,High,5000000
334,18,15,6,EdTech,Hyderabad,273193,250604,No,Low,500000
335,17,12,2,AI,Pune,630867,1627684,Yes,High,5000000
336,19,5,6,EdTech,Kolkata,619403,2056403,Yes,High,5000000
337,19,12,5,FinTech,Delhi,961262,2485549,Yes,High,5000000
338,12,3,3,HealthTech,Bangalore,848911,2295929,Yes,High,5000000
339,16,13,3,CleanTech,Bangalore,893172,516495,No,Low,500000
340,12,0,4,AgriTech,Pune,1946121,1448548,No,Low,500000
341,7,12,9,E-Commerce,Kolkata,879345,1704058,Yes,High,5000000
342,15,13,10,EdTech,Hyderabad,1641834,1601743,No,Low,500000
343,8,13,3,HealthTech,Chennai,1532349,2414823,Yes,High,5000000
344,20,9,6,EdTech,Chennai,1804383,1991571,Yes,High,5000000
345,16,0,6,E-Commerce,Chennai,1502190,388850,No,Low,500000
346,18,3,9,EdTech,Chennai,1916679,2261002,Yes,High,5000000
347,8,14,9,EdTech,Hyderabad,624999,623768,No,Low,500000
348,7,15,10,EdTech,Pune,198753,1385989,Yes,High,5000000
349,5,3,5,CleanTech,Chennai,1486532,873598,No,Low,500000
350,14,8,10,AgriTech,Delhi,747988,965623,Yes,High,5000000
351,11,3,1,AI,Chennai,1856794,1001749,No,Low,500000
352,14,5,1,EdTech,Kolkata,1221364,238147,No,Low,500000
353,9,13,9,E-Commerce,Mumbai,1008123,721774,No,Low,500000
354,6,15,6,FinTech,Mumbai,844199,406522,No,Low,500000
355,15,9,9,AI,Delhi,1697722,1074862,No,Low,500000
356,3,15,7,AI,Hyderabad,175945,2282137,Yes,High,5000000
357,19,7,7,E-Commerce,Pune,1271434,337162,No,Low,500000
358,5,2,9,FinTech,Pune,1978309,50842,No,Low,500000
359,9,8,2,CleanTech,Delhi,1973765,1240420,No,Low,500000
360,10,11,8,AgriTech,Pune,1713752,1815027,Yes,High,5000000
361,8,10,5,AI,Delhi,1038910,2383348,Yes,High,5000000
362,14,3,2,AgriTech,Chennai,403837,1361531,Yes,High,5000000
363,7,7,9,AI,Delhi,1014581,2405869,Yes,High,5000000
364,10,4,3,EdTech,Hyderabad,647251,1479979,Yes,High,5000000
365,15,15,9,AgriTech,Chennai,1890243,657291,No,Low,500000
366,3,4,5,EdTech,Mumbai,1451526,390918,No,Low,500000
367,13,5,5,E-Commerce,Hyderabad,811564,1837589,Yes,High,5000000
368,6,8,10,E-Commerce,Delhi,300435,2163287,Yes,High,5000000
369,10,3,6,FinTech,Bangalore,1319573,2041004,Yes,High,5000000
370,8,7,7,E-Commerce,Mumbai,944205,606520,No,Low,500000
371,4,6,2,EdTech,Kolkata,703752,2276556,Yes,High,5000000
372,2,14,4,HealthTech,Hyderabad,1464561,2297955,Yes,High,5000000
373,16,11,2,FinTech,Chennai,1901397,2457213,Yes,High,5000000
374,11,3,3,EdTech,Mumbai,206861,768091,Yes,High,5000000
375,15,13,5,EdTech,Delhi,1492315,1677152,Yes,High,5000000
376,17,15,10,EdTech,Chennai,366520,2087825,Yes,High,5000000
377,19,3,7,CleanTech,Pune,768559,1976099,Yes,High,5000000
378,6,8,10,E-Commerce,Chennai,791496,2430839,Yes,High,5000000
379,3,8,10,HealthTech,Chennai,1795379,888067,No,Low,500000
380,3,9,3,E-Commerce,Hyderabad,1229180,768329,No,Low,500000
381,10,3,1,AI,Bangalore,170172,1606117,Yes,High,5000000
382,4,11,3,E-Commerce,Pune,411902,808409,Yes,High,5000000
383,14,8,1,AI,Bangalore,1140945,129437,No,Low,500000
384,19,15,9,AgriTech,Delhi,196492,1068549,Yes,High,5000000
385,17,13,9,HealthTech,Mumbai,1485791,1854389,Yes,High,5000000
386,7,11,2,E-Commerce,Delhi,1374344,1862185,Yes,High,5000000
387,6,6,3,CleanTech,Delhi,1101756,67460,No,Low,500000
388,19,6,2,AI,Chennai,1047361,1316813,Yes,High,5000000
389,15,9,9,HealthTech,Mumbai,1120220,2115766,Yes,High,5000000
390,17,10,5,EdTech,Hyderabad,495970,1931002,Yes,High,5000000
391,5,7,6,AgriTech,Kolkata,609414,2339581,Yes,High,5000000
392,9,4,6,AgriTech,Mumbai,1269314,1512129,Yes,High,5000000
